,Position,Company Name,Location,Start Date,CTC (Annual),Experience,Posted Ago,Role
42,Maths Voiceover And Video Solutions Specialist (Female Only),InfyBytes AI Labs Private Limited,Work from home,Starts Immediately,"₹ 2,50,000 - 3,00,000",0-2 years,Just now,Job
43,Business Development Executive,Exaltica,Work from home,Starts Immediately,"₹ 4,00,000 - 6,00,000",0-5 years,Just now,Job
44,Subject Matter Expert (Advanced Physics),Vaidik EduServices Private Limited,Work from home,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,Just now,Job
45,Sales Development Representative,Jalan Technology Consulting,Jaipur,Starts Immediately,"₹ 3,00,000 - 5,00,000",0-2 years,1 day ago,Job
46,Graphic Designer,The Mind Drama,Ahmedabad,Starts Immediately,"₹ 2,04,000 - 2,40,000",0-2 years,1 day ago,Job
47,Associate Product Designer,Jalan Technology Consulting,Jaipur,Starts Immediately,"₹ 3,00,000 - 6,00,000",1-3 years,1 day ago,Job
48,UI/UX Designer,Espangle Consulting,Gurgaon,Starts Immediately,"₹ 4,80,000 - 6,50,000",0-5 years,1 day ago,Job
49,Dispensing Optician,Santiniketan Medical College & Hospital,"Bolpur, Kolkata",Starts Immediately,"₹ 2,00,000 - 2,00,001",0-2 years,Today,Job
50,Corporate Sales Executive,Yira Health Tech,Hyderabad,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,7 days ago,Job
51,Marketing Executive,SkillGenic Academy,Mumbai,Starts Immediately,"₹ 3,00,000 - 4,20,000",0-2 years,Today,Job
52,Social Media Manager,CyberFrat,Mumbai,Starts Immediately,"₹ 2,84,000 - 4,00,000",0-2 years,1 day ago,Job
53,Corporate Sales Executive,Blue Rose Publishers,Kolkata,Starts Immediately,"₹ 3,00,000 - 3,20,000",0-2 years,Today,Job
54,Senior Accountant,Gopal Kamlesh Sharma & Co Chartered Accountant,Mumbai,Starts Immediately,"₹ 3,00,000 - 5,00,000",0-5 years,3 days ago,Job
55,Junior Operations Executive,Daily Flowers India Private Limited,Mumbai,Starts Immediately,"₹ 3,00,000 - 4,00,000",0-2 years,Today,Job
56,Business Development Associate,Antano & Harini,Chennai,Starts Immediately,"₹ 3,60,000 - 7,20,000",0-5 years,Today,Job
57,Operations Executive - Multilingual,Astrotalk,Noida,Starts Immediately,"₹ 2,00,000 - 2,40,000",0-2 years,Today,Job
58,Business Development Executive,Blue Rose Publishers,"Delhi, Kolkata, Noida",Starts Immediately,"₹ 3,00,000 - 3,20,000",0-2 years,Today,Job
59,Business Development Executive,AKK Corporation,Lucknow,Starts Immediately,"₹ 2,40,000 - 3,50,000",0-2 years,Today,Job
60,CRM Executive,Eduauraa Technologies Private Limited,Mumbai,Starts Immediately,"₹ 5,00,000",2-5 years,Today,Job
61,Business Development Executive,AKK Corporation,Kolkata,Starts Immediately,"₹ 2,40,000 - 3,00,000",0-2 years,Today,Job
62,Social Media Marketing Team Lead,Digilligence,Thane,Starts Immediately,"₹ 2,00,000 - 2,05,000",0-2 years,Today,Job
63,Admin - MIS,Eduauraa Technologies Private Limited,Mumbai,Starts Immediately,"₹ 2,00,000 - 5,00,000",1-4 years,Today,Job
64,Business Development Executive (Bengaluru),Xboom Utilities Private Limited,Bangalore,Starts Immediately,"₹ 4,50,000 - 6,00,000",1-4 years,Today,Job
65,Operations Executive,Blue Rose Publishers,"Delhi, Noida",Starts Immediately,"₹ 3,00,000 - 4,00,000",0-2 years,Today,Job
66,Video Production Manager,MarkAce Marketing Private Limited,"Mohali, Chandigarh",Starts Immediately,"₹ 4,00,000 - 5,40,000",0-5 years,1 day ago,Job
67,Business Development Manager,Hedge Homes,Noida,Starts Immediately,"₹ 4,00,000 - 5,50,000",0-5 years,Today,Job
68,Document Verification Executive,Acme Services,Thane,Starts Immediately,"₹ 2,00,000 - 2,00,001",0-2 years,Today,"Job


Part time"
69,Executive Assistant,"Chamber Of Commerce, Sustainable Development And Foreign Relations",Delhi,Starts Immediately,"₹ 2,40,000 - 4,20,000",0-2 years,Today,Job
70,Digital Outreach Executive,Zedex Info Private Limited,Mumbai,Starts Immediately,"₹ 2,00,000",0-2 years,1 day ago,Job
71,Office Backend Staff,Job Master,Ambala,Starts Immediately,"₹ 2,00,000",0-2 years,Today,Job
