,Position,Company Name,Location,Start Date,CTC (Annual),Experience,Posted Ago,Role
191,Business Development Associate,Innovate Networks E-Services Private Limited,Bangalore,Starts Immediately,"₹ 3,50,000 - 5,50,000",0-1 years,2 days ago,Job
192,Human Resources (HR) Executive,Osumare,Pune,Starts Immediately,"₹ 2,00,000 - 2,10,000",0-2 years,1 day ago,Job
193,Sales Manager,YourDOST Health Solutions,Bangalore,Starts Immediately,"₹ 3,00,000 - 4,00,000",0-2 years,3 days ago,Job
194,BD Executive (Females Only),AI Technologies Private Limited,Hyderabad,Starts Immediately,"₹ 2,00,000 - 2,50,000",0-2 years,4 days ago,Job
195,Social Media Executive,Shemrock & Shemford Group Of Schools,"Delhi, Gurgaon",Starts Immediately,"₹ 2,00,000 - 3,60,000",0-2 years,2 days ago,Job
196,Sr. Sales Executive,Milagro Universe,Mumbai,Starts Immediately,"₹ 4,00,000 - 7,00,000",0-5 years,3 days ago,Job
197,Digital Ops Executive Trainee,ET Media Labs,Noida,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,2 days ago,Job
198,Data Entry Associate,Autoverse Mobility,Bangalore,Starts Immediately,"₹ 2,00,000",0-2 years,1 day ago,Job
199,Business Development Executive,OckyPocky,"Gurgaon, Delhi",Starts Immediately,"₹ 3,00,000 - 3,50,000",0-3 years,2 days ago,Job
200,Senior Partnership Manager,EIMR Global,Bangalore,Starts Immediately,"₹ 5,00,000 - 6,50,000",4-5 years,2 days ago,Job
201,Civil Engineer - Hyderabad,The Schon,Hyderabad,Starts Immediately,"₹ 2,50,000 - 4,00,000",0-2 years,2 days ago,Job
202,HR Head,Shree Chaitanya International,Noida,Starts Immediately,"₹ 2,50,000 - 5,00,000",0-5 years,1 day ago,Job
203,Corporate Sales Specialist,HSV Media Private Limited,Gurgaon,Starts Immediately,"₹ 3,20,000 - 4,80,000",0-2 years,3 weeks ago,Job
204,Content Writer,Shemrock & Shemford Group Of Schools,"Sohna, Delhi, Gurgaon",Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,2 days ago,Job
205,Customer Success Manager,WhizJuniors,Mumbai,Starts Immediately,"₹ 2,40,000 - 3,00,000",0-2 years,3 days ago,Job
206,Alliance Executive,Sharedpro,Vadodara,Starts Immediately,"₹ 3,00,000",0-1 years,4 days ago,Job
207,New Venture Associate,Raw Leaf Story,Delhi,Starts Immediately,"₹ 2,40,000 - 3,60,000",0-2 years,2 days ago,Job
208,Associate Project Manager,AddZ,Mumbai,Starts Immediately,"₹ 2,00,000 - 2,10,000",0-2 years,2 days ago,Job
209,Senior Social Media Marketing Executive,WebMatriks Technology,Faridabad,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,2 days ago,Job
210,Junior Search Engine Optimization (SEO) Associate,RankItRight Media,Bangalore,Starts Immediately,"₹ 2,50,000 - 4,00,000",0-2 years,3 days ago,Job
211,Social Media Marketing Manager,Mastork Technologies,Delhi,Starts Immediately,"₹ 3,50,000 - 4,00,000",0-2 years,2 days ago,Job
212,Marketing Specialist,Bosscoder Academy,Noida,Starts Immediately,"₹ 4,00,000 - 5,00,000",0-5 years,2 days ago,Job
213,Accountant (Experienced),Numismatic Coin Collections Private Limited,Meerut,Starts Immediately,"₹ 2,00,000",0-2 years,3 days ago,Job
214,Business Research Executive,Suktam Healthcare Private Limited,Gurgaon,Starts Immediately,"₹ 3,60,000",0-2 years,2 days ago,Job
215,Outbound Sales (International),RankItRight Media,Bangalore,Starts Immediately,"₹ 5,00,000 - 9,00,000",0-4 years,3 days ago,Job
216,B2B/B2C Marketing & Sales Manager,WhizJuniors,Mumbai,Starts Immediately,"₹ 3,60,000 - 4,20,000",0-2 years,3 days ago,Job
217,Senior Videographer,Ramp Asia,Delhi,Starts Immediately,"₹ 2,40,000 - 4,20,000",0-2 years,2 weeks ago,Job
218,Corporate Sales Executive,Budgetree Technology Private Limited,Noida,Starts Immediately,"₹ 2,00,000 - 2,40,000",0-2 years,4 days ago,Job
219,Event Management Associate,Ramp Asia,Delhi,Starts Immediately,"₹ 2,00,000 - 2,50,000",0-2 years,3 days ago,Job
220,Junior Operations Associate,Sploot Private Limited,"Delhi, Faridabad, Gurgaon, Noida",Starts Immediately,"₹ 2,40,000 - 3,00,000",0-2 years,3 days ago,Job
221,Business Development Associate,Strategic Engagement And Event Solutions (SEES),Delhi,Starts Immediately,"₹ 3,00,000 - 4,00,000",0-2 years,3 days ago,Job
222,Linux & OpenStack Administrator,IDEA Foundation Panchkula,Chandigarh,Starts Immediately,"₹ 3,60,000 - 4,80,000",0-2 years,1 day ago,Job
223,Corporate Sales Executive,Kanakaveda Private Limited,Mumbai,Starts Immediately,"₹ 2,00,000 - 5,00,000",1-5 years,4 days ago,Job
224,Business Development Executive,WeMakeScholars,"Indore, Lucknow, Patna, Delhi, Pune, Gujarat, Hyderabad, Bhopal, Ranchi, Mumbai, Warangal, Secunderabad, Vijayawada, Vishakhapatnam, Begumpet",Starts Immediately,"₹ 3,00,000 - 3,70,000",0-2 years,1 day ago,Job
225,Medical Representative,Proceed Fit,Mumbai,Starts Immediately,"₹ 2,00,000",0-2 years,4 days ago,Job
226,Mental Health Counselor,Reminted Therapeutics,Delhi,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,3 days ago,Job
227,Fashion Designer,Ramp Asia,Delhi,Starts Immediately,"₹ 2,16,000 - 2,40,000",0-2 years,3 days ago,Job
228,Application Engineer,IQM Solutions Private Limited,"Noida, Gurgaon, Durg, Faridabad, Raipur, Bhilai, Delhi, Ghaziabad",Starts Immediately,"₹ 2,00,000 - 2,40,000",0-2 years,3 days ago,Job
229,Business Development Associate,Ramp Asia,Delhi,Starts Immediately,"₹ 2,16,000 - 3,36,000",0-2 years,2 weeks ago,Job
230,Business Development Manager,Ramp Asia,Delhi,Starts Immediately,"₹ 3,00,000 - 4,20,000",0-2 years,2 weeks ago,Job
231,MIS Executive,Codezin Technology Solutions,Kolkata,Starts Immediately,"₹ 2,00,000 - 2,01,000",0-2 years,2 days ago,Job
232,Business Development Associate,Daphnis Labs Technologies Private Limited,Delhi,Starts Immediately,"₹ 3,00,000 - 4,00,000",0-2 years,3 days ago,Job
233,Engineer - Technical Sales & Services,Orbit Research Associates Private Limited,Delhi,Starts Immediately,"₹ 2,40,000 - 3,60,000",0-2 years,3 days ago,Job
234,Embedded Systems Executive,Ganges Internationale Private Limited,Delhi,Starts Immediately,"₹ 5,00,000 - 8,00,000",3-5 years,2 days ago,Job
235,Junior Social Media Marketing Associate,Gigde Global Solutions Private Limited,"Noida, Ghaziabad",Starts Immediately,"₹ 2,50,000 - 3,00,000",0-2 years,4 days ago,Job
236,Senior Telecaller,Legal Pillers,Delhi,Starts Immediately,"₹ 5,00,000 - 6,00,000",2-5 years,3 days ago,Job
237,Social Media Executive,InstaAstro,Noida,Starts Immediately,"₹ 2,00,000 - 2,50,000",0-1 years,3 days ago,Job
238,Training Business Associate,Porter,Mohali,Starts Immediately,"₹ 2,75,000",0-2 years,1 day ago,Job
239,Public Relations Executive,InstaAstro,Noida,Starts Immediately,"₹ 2,00,000 - 2,50,000",0-1 years,3 days ago,Job
240,Social Media Marketing Executive,Allo Innoware,Mumbai,Starts Immediately,"₹ 2,00,000 - 2,40,000",0-1 years,3 days ago,Job
241,Client Servicing Representative,Mobavenue Media Private Limited,Mumbai,Starts Immediately,"₹ 3,60,000 - 5,00,000",1-2 years,3 days ago,Job
242,Senior Social Media Marketing Executive,The Design Drama,Mumbai,Starts Immediately,"₹ 2,00,000 - 2,50,000",0-2 years,2 weeks ago,Job
243,Digital Marketing Specialist,BeyondExams,Delhi,Starts Immediately,"₹ 2,00,000 - 5,00,000",0-5 years,3 days ago,Job
244,Pre-Primary Teacher,Shemrock & Shemford Group Of Schools,Gurgaon,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,5 days ago,Job
245,Program Executive,Sarthak Prayas,Delhi,Starts Immediately,"₹ 2,00,000 - 2,40,000",0-2 years,3 days ago,Job
246,Junior Social Media Marketing Associate,The Overseas Consultant,Mumbai,Starts Immediately,"₹ 2,00,000 - 2,20,000",0-2 years,4 days ago,Job
247,Associate Graphic Designer,STEMplify,Noida,Starts Immediately,"₹ 2,70,000 - 4,00,000",1-2 years,4 days ago,Job
248,Digital Marketing Executive,TheOther 2 Thirds Consulting LLP,Mumbai,Starts Immediately,"₹ 2,50,000 - 3,00,000",0-2 years,3 days ago,Job
249,Associate Content Writer,RankItRight Media,Bangalore,Starts Immediately,"₹ 4,00,000 - 6,00,000",0-5 years,3 days ago,Job
250,Junior Accountant,Honey Translation Services,Chennai,Starts Immediately,"₹ 2,50,000 - 3,50,000",0-2 years,3 days ago,Job
251,Senior Accountant,Honey Translation Services,Chennai,Starts Immediately,"₹ 2,00,000 - 2,75,000",0-2 years,3 days ago,Job
252,Accounts Executive,Codezin Technology Solutions,Kolkata,Starts Immediately,"₹ 2,00,000 - 2,50,000",0-2 years,3 days ago,Job
253,Junior Recruiter,WeMakeScholars,"Indore, Pune, Ahmedabad, Hyderabad, Keralapuram, Mahelaj, Tamilpadi",Starts Immediately,"₹ 3,00,000 - 3,20,000",0-2 years,2 days ago,Job
254,Junior Production Chemist,Synnat Pharma Private Limited,Visakhapatnam,Starts Immediately,"₹ 2,00,000 - 2,20,000",0-2 years,5 days ago,Job
255,3ds Max Graphic Designer,Ramp Asia,Delhi,Starts Immediately,"₹ 2,40,000 - 3,00,000",0-2 years,3 weeks ago,Job
256,Feild Sales Executive,Simplify Solutions,"Guntur, Warangal, Bangalore, Hyderabad, Assam, Kolkata",Starts Immediately,"₹ 2,50,000 - 4,50,000",0-2 years,2 days ago,Job
257,Business Development Executive,Exa Mobility India Private Limited,Pune,Starts Immediately,"₹ 4,00,000 - 8,00,000",0-5 years,3 weeks ago,Job
258,Telecaller (Inbound-Hindi),Honey Translation Services,Chennai,Starts Immediately,"₹ 5,20,000 - 5,30,000",0-5 years,3 days ago,Job
259,Content & E-commerce Management Manager,Daily Flowers India Private Limited,Mumbai,Starts Immediately,"₹ 6,00,000",0-5 years,3 weeks ago,Job
260,STEM Trainer (Bangalore),STEMplify,Bangalore,Starts Immediately,"₹ 2,50,000 - 3,50,000",0-3 years,4 days ago,Job
261,Graphic Designer,Think EBikeGO Private Limited,Mumbai,Starts Immediately,"₹ 3,00,000 - 4,00,000",0-2 years,3 days ago,Job
262,Student Advisor,Ace My Prep,Delhi,Starts Immediately,"₹ 4,80,000",0-2 years,3 days ago,Job
263,Human Resources (HR) Executive,Kiaya Accessories,Bangalore,Starts Immediately,"₹ 2,00,000 - 2,80,000",0-2 years,2 days ago,Job
264,Junior Social Media Marketing Executive,Trade Brains,Bangalore,Starts Immediately,"₹ 3,00,000 - 3,60,000",0-2 years,3 days ago,Job
265,WordPress Developer,MarketInc,Delhi,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,1 day ago,Job
266,Business Development Associate,TheOther 2 Thirds Consulting LLP,"Mumbai, Bangalore",Starts Immediately,"₹ 2,00,000 - 3,50,000",0-2 years,3 days ago,Job
267,Business Development Executive,Zigsaw Consultancy,Gandhinagar,Starts Immediately,"₹ 5,00,000 - 6,00,000",2 years,5 days ago,Job
268,Subject Matter Expert (Chemistry),Vaidik EduServices Private Limited,Work from home,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,Today,Job
269,Subject Matter Expert (Economics),Vaidik EduServices Private Limited,Work from home,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,Today,Job
270,Faculty Member - Physics Department,Future Skills,Hyderabad,Starts Immediately,"₹ 4,08,000",0-2 years,4 days ago,Job
271,Assistant Professor (Chemistry),Future Skills,Hyderabad,Starts Immediately,"₹ 4,08,000",0-2 years,4 days ago,Job
272,Senior React.js/React Native Developer,Return Journey LLP,Pune,Starts Immediately,"₹ 3,00,000 - 6,00,000",0-5 years,1 day ago,Job
273,Accounts And Finance Manager,WhizJuniors,Mumbai,Starts Immediately,"₹ 3,60,000 - 4,20,000",0-2 years,3 days ago,Job
274,Subject Matter Expert,SPZ Solutions Pvt. Ltd.,Work from home,Starts Immediately,"₹ 2,00,000 - 2,50,000",0-2 years,Today,Job
275,Physics Teacher,Future Skills,Hyderabad,Starts Immediately,"₹ 4,08,000",0-2 years,4 days ago,Job
276,Site Engineer,Shalabh Varshney,Work from home,Starts Immediately,"₹ 2,00,000 - 2,40,000",0-2 years,Today,Job
277,Accountant,Digital Factorys,Pimpri-Chinchwad,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,3 days ago,Job
278,Marketing Associate,MANTARA,Bangalore,Starts Immediately,"₹ 2,40,000 - 3,50,000",0-2 years,3 days ago,Job
279,3D Motion Graphics Artist,Intesome,Work from home,Starts Immediately,"₹ 2,00,000 - 5,00,000",0-5 years,Today,Job
280,Subject Matter Expert (Accounting),Vaidik EduServices Private Limited,Work from home,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,Today,Job
281,Utility Engineer/Team Leader - Utilities,Synnat Pharma Private Limited,Visakhapatnam,Starts Immediately,"₹ 3,00,000 - 3,50,000",0-2 years,5 days ago,Job
282,Client Acquisition Associate,SkillGenic Academy,Indore,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,5 days ago,Job
283,Client Acquisition Manager,SkillGenic Academy,Indore,Starts Immediately,"₹ 2,00,000 - 4,00,000",0-2 years,5 days ago,Job
284,PHP Developer,Zedex Info Private Limited,Mumbai,Starts Immediately,"₹ 2,00,000",0-2 years,2 days ago,Job
285,Business Development Manager,Milagro Universe,Mumbai,Starts Immediately,"₹ 4,00,000 - 12,00,000",0-5 years,4 days ago,Job
286,Customer Support Executive,Creators Lab India Private Limited,Chennai,Starts Immediately,"₹ 2,50,000 - 3,00,000",0-2 years,4 days ago,Job
287,Graphic Designer,Team Variance,Noida,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,3 days ago,Job
288,3D Modeling And Animation,Intesome,Work from home,Starts Immediately,"₹ 2,00,000 - 5,00,000",0-5 years,Today,Job
289,Junior PHP Developer,Zedex Info Private Limited,Mumbai,Starts Immediately,"₹ 2,00,000",0-2 years,2 days ago,Job
290,Junior Field Sales Executive,Parragon Publishing India Private Limited,"Noida, Bangalore, Mumbai, Chandigarh, Kolkata, Chennai",Starts Immediately,"₹ 2,00,000 - 2,40,000",0-2 years,3 days ago,Job
291,Real Estate Analyst,Radiant Star Group,Work from home,Starts Immediately,"₹ 2,00,000 - 2,40,000",0-2 years,Today,Job
292,Academic Content Writing,Creators Lab India Private Limited,Chennai,Starts Immediately,"₹ 2,50,000 - 3,00,000",0-2 years,4 days ago,Job
293,Amazon PPC Expert,Zigsaw Consultancy,Udaipur,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-1 years,1 week ago,Job
294,Sales And Marketing Executive,Centre For Success Private Limited,"Mohali, Chandigarh, Panchkula",Starts Immediately,"₹ 2,00,000 - 2,50,000",0-2 years,2 weeks ago,Job
295,Farmer Onboarder & Educator (In Rural Areas),One Root,"Satyamangalam, Thalavadi, Chamarajanagar",Starts Immediately,"₹ 3,00,000 - 3,50,000",0-2 years,7 days ago,Job
296,Business Development Executive,Nerdy Academy,"Bhilai, Durg",Starts Immediately,"₹ 2,40,000 - 4,60,000",0-2 years,3 weeks ago,Job
297,Customer Support Executive,GK Enterprises,Ludhiana,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,1 week ago,Job
298,Business Development Sales,Techdome Solutions Private Limited,Indore,Starts Immediately,"₹ 2,00,000 - 4,00,000",0-2 years,5 days ago,Job
299,BDE – IT Sales,Zigsaw Consultancy,Indore,Starts Immediately,"₹ 2,50,000 - 3,00,000",0-2 years,5 days ago,Job
300,Business Development Executive,Nerdy Academy,Raipur,Starts Immediately,"₹ 2,00,000 - 4,60,000",0-2 years,3 weeks ago,Job
301,Business Development (Sales),D-Vivid Consultant,Ahmedabad,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,5 days ago,Job
302,Sales Engineer,Diya Industrial Technologies Private Limited,"Ahmedabad, Jamshedpur",Starts Immediately,"₹ 3,00,000 - 4,00,000",0-2 years,7 days ago,Job
303,Junior Search Engine Optimization (SEO) Executive,Nrich Learning,Chandigarh,Starts Immediately,"₹ 2,00,000 - 2,50,000",0-2 years,1 week ago,Job
304,Inside Sales Executive,Network Science,Mumbai,Starts Immediately,"₹ 2,00,000 - 2,50,000",0-2 years,1 week ago,Job
305,Digital Marketing Associate,Relinns Technologies,Mohali,Starts Immediately,"₹ 3,00,000 - 5,00,000",0-5 years,5 days ago,Job
306,Business Development Executive,Upstep Academy,Mumbai,Starts Immediately,"₹ 2,00,000 - 4,00,000",0-2 years,6 days ago,Job
307,Business Development Executive,GTC Industries,Mumbai,Starts Immediately,"₹ 2,50,000 - 3,00,000",0-2 years,7 days ago,Job
308,Business Development Associate,Osprey Invites,Mumbai,Starts Immediately,"₹ 2,40,000",0-2 years,6 days ago,Job
309,Front Desk Manager,Zigsaw Consultancy,Honavar,Starts Immediately,"₹ 2,00,000 - 2,16,000",0-1 years,2 weeks ago,Job
310,Business Development Executive,Tring,"Mumbai, Panvel, Navi Mumbai, Thane",Starts Immediately,"₹ 2,50,000 - 3,00,000",1 year,5 days ago,Job
311,Business Development Executive,Webcap Technology,Thane,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,2 weeks ago,Job
312,Marketing,Zigsaw Consultancy,Gurgaon,Starts Immediately,"₹ 3,00,000 - 3,50,000",0-1 years,1 week ago,Job
313,Corporate Sales Executive,PIN IT UP,Delhi,Starts Immediately,"₹ 2,00,000 - 2,40,000",0-2 years,3 weeks ago,Job
314,Business Development Associate (Mumbai),IB Cricket,Mumbai,Starts Immediately,"₹ 3,00,000 - 5,50,000",0-1 years,6 days ago,Job
315,Business Development Executive,Ayurveda House Private Limited,Delhi,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,5 days ago,Job
316,Junior Sales Executive,Tring,"Mumbai, Navi Mumbai, Thane, Panvel",Starts Immediately,"₹ 2,00,000 - 3,00,000",0-1 years,5 days ago,Job
317,Business Development Associate,GenElek Technologies Private Limited,Delhi,Starts Immediately,"₹ 3,00,000 - 6,00,000",0-5 years,1 week ago,Job
318,Business Development Associate - Sales,UniAcco,Mumbai,Starts Immediately,"₹ 3,00,000 - 5,00,000",1-4 years,6 days ago,Job
319,Business Development Associate,Requin Solutions Private Limited,Jaipur,Starts Immediately,"₹ 2,00,000 - 2,10,000",0-2 years,1 week ago,Job
320,Customer Acquisition Executive,Guruji Astro,Jaipur,Starts Immediately,"₹ 2,00,000 - 2,40,000",0-1 years,1 week ago,Job
321,Business Development Executive (Enterprise Sales),Kaholas,Delhi,Starts Immediately,"₹ 3,60,000",0-2 years,1 week ago,Job
322,Sales Executive,Mirats Insights,Lucknow,Starts Immediately,"₹ 2,00,000 - 2,50,000",0-2 years,3 weeks ago,Job
323,Field Sales Executive,DELTON CABLES LIMITED,Jaipur,Starts Immediately,"₹ 2,00,000 - 2,40,000",0-2 years,6 days ago,Job
324,School Co-ordinater,STEMpedia,Ahmedabad,Starts Immediately,"₹ 2,00,000 - 2,40,000",0-2 years,2 weeks ago,Job
325,Creator Acquisition Specialist,Cosmofeed,Gurgaon,Starts Immediately,"₹ 3,00,000 - 3,60,000",0-2 years,1 week ago,Job
326,Video Editor,Stocktutor,Gurgaon,Starts Immediately,"₹ 2,00,000",0-2 years,5 days ago,Job
327,Video Editor,Guruji Astro,Jaipur,Starts Immediately,"₹ 2,00,000 - 4,00,000",1-3 years,1 week ago,Job
328,Service And Operations Coordinator,Jamboree Education Private Limited,Jaipur,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,7 days ago,Job
329,Receptionist,Saroj Education Group,Lucknow,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,1 week ago,Job
330,Business Development Executive,Synnat Pharma Private Limited,Visakhapatnam,Starts Immediately,"₹ 3,00,000 - 5,00,000",0-5 years,2 weeks ago,Job
331,Long Video Editor,Grow2Viral,Noida,Starts Immediately,"₹ 2,50,000 - 3,00,000",0-2 years,7 days ago,Job
332,Shorts Video Editor,Grow2Viral,Noida,Starts Immediately,"₹ 2,50,000 - 3,00,000",0-2 years,7 days ago,Job
333,Marketing And Sales Associate,Vegg,Surat,Starts Immediately,"₹ 3,00,000 - 4,00,000",0-2 years,3 weeks ago,Job
334,YouTube Thumbnail Designer,N B Media,Mohali,Starts Immediately,"₹ 2,40,000 - 3,60,000",0-2 years,2 weeks ago,Job
335,AutoCAD Designer - Architecture,SALUJA CAD CONSULTANCY,"Delhi, Gurgaon, Ghaziabad, Faridabad, Noida",Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,1 week ago,Job
336,Academic Content Expert - Statistics (English),QA Solvers,Varanasi,Starts Immediately,"₹ 2,50,000 - 3,50,000",0-2 years,2 weeks ago,Job
337,Academic Content Expert - Accountancy (English),QA Solvers,Varanasi,Starts Immediately,"₹ 2,50,000 - 3,50,000",0-2 years,2 weeks ago,Job
338,Accounts Executive,Confluencr,Nagpur,Starts Immediately,"₹ 2,00,000 - 4,50,000",0-2 years,1 week ago,Job
339,Videographer,The Mould Story,Mumbai,Starts Immediately,"₹ 2,16,000 - 2,50,000",0-2 years,1 week ago,Job
340,Sales Trainee,Stocktutor,Gurgaon,Starts Immediately,"₹ 2,00,000 - 4,00,000",0-2 years,5 days ago,Job
341,Academic Content Expert For Physics (English),QA Solvers,Varanasi,Starts Immediately,"₹ 2,50,000 - 3,50,000",0-2 years,2 weeks ago,Job
342,Event Management Executive,Kanakaveda Private Limited,Mumbai,Starts Immediately,"₹ 2,00,000 - 3,00,000",1-5 years,6 days ago,Job
343,Assistant Marketing Manager,Dee Tec Tools LLP,Mumbai,Starts Immediately,"₹ 2,00,000 - 2,50,000",0-2 years,3 weeks ago,Job
344,Junior Video Editor,YDigital,Mumbai,Starts Immediately,"₹ 2,00,000 - 2,00,001",0-2 years,1 week ago,Job
345,Front Office Executive,Meraki Habitats LLP,Mumbai,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,1 week ago,Job
346,Business Development Executive,Nerdy Academy,Bhopal,Starts Immediately,"₹ 2,20,000 - 4,60,000",0-2 years,3 weeks ago,Job
347,Video Editor,NextEdge Labs,"Mumbai, Navi Mumbai, Thane",Starts Immediately,"₹ 2,00,000 - 2,00,001",0-2 years,6 days ago,Job
348,Content Writer,Qrata,Mumbai,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,2 weeks ago,Job
349,Associate Content Writer,Disha Skill Training Services,Mumbai,Starts Immediately,"₹ 2,50,000 - 3,00,000",1-3 years,7 days ago,Job
350,Telecaller,Ikon Placement Agency,"Noida, Gurgaon",Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,1 week ago,Job
351,Corporate Sales Specialist,Social Blow Up,Dehradun,Starts Immediately,"₹ 2,40,000 - 40,00,000",0-5 years,1 week ago,Job
352,CMM Engineer,SALUJA CAD CONSULTANCY,"Delhi, Faridabad, Ghaziabad, Gurgaon, Noida",Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,1 week ago,Job
353,Motion Graphic Designer (Contract Basis),IIDE Education Private Limited,Mumbai,Starts Immediately,"₹ 2,40,000 - 3,00,000",0-2 years,7 days ago,Job
354,Business Development Executive,Polymatech Electronics Limited,Chennai,Starts Immediately,"₹ 2,00,000 - 2,40,000",0-2 years,1 week ago,Job
355,Telecaller,Rang Roop,Chennai,Starts Immediately,"₹ 2,40,000 - 2,70,000",0-2 years,1 week ago,Job
356,Corporate Sales Specialist,Social Blow Up,Dehradun,Starts Immediately,"₹ 2,10,000 - 4,00,000",0-2 years,1 week ago,Job
357,Sales Consultant,Zigsaw Consultancy,Chennai,Starts Immediately,"₹ 4,80,000",1-5 years,1 week ago,Job
358,Field Tally Support Executive,Antraweb Technologies Private Limited,Mumbai,Starts Immediately,"₹ 2,00,000 - 2,50,000",0-2 years,2 weeks ago,Job
359,Fusion 360 CAD Designer,The Mould Story,Mumbai,Starts Immediately,"₹ 3,00,000 - 3,30,000",0-2 years,7 days ago,Job
360,FPGA Developer,Vegg,Surat,Starts Immediately,"₹ 3,60,000 - 5,00,000",0-5 years,1 week ago,Job
361,Drone Development Engineer,IG Drones,Bhubaneswar,Starts Immediately,"₹ 2,50,000 - 3,50,000",0-2 years,7 days ago,Job
362,Customer Service Specialist,Dhairya Khera,Delhi,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,7 days ago,Job
363,Store Cum Purchase Manager,SALUJA CAD CONSULTANCY,"Noida, Faridabad, Delhi, Ghaziabad, Gurgaon",Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,1 week ago,Job
364,Telecaller,Eta Solution,Ahmedabad,Starts Immediately,"₹ 2,00,000 - 2,50,000",0-2 years,2 weeks ago,Job
365,Sales Executive,ALYF PROPTECH PRIVATE LIMITED,Mumbai,Starts Immediately,"₹ 4,20,000 - 5,50,000",0-5 years,1 week ago,Job
366,CAD Engineer - Inventor And AutoCAD,SALUJA CAD CONSULTANCY,"Alwar, Delhi, Gurgaon, Neemrana, Noida",Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,1 week ago,Job
367,Academic Counselor,Zigsaw Consultancy,Chennai,Starts Immediately,"₹ 5,00,000",2-5 years,7 days ago,Job
368,Embedded Electronics Engineer,Primary Healthtech,Guwahati,Starts Immediately,"₹ 5,00,000",3-5 years,1 week ago,Job
369,Relationship Manager,TradeCred,Mumbai,Starts Immediately,"₹ 2,40,000 - 3,00,000",0-2 years,7 days ago,Job
370,Corporate Sales Executive,Gobind Coach Builders,Bhadaur,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,3 weeks ago,Job
371,Product Growth Consultant,IESoft Technologies Private Limited,Mumbai,Starts Immediately,"₹ 2,40,000 - 3,00,000",0-2 years,6 days ago,Job
372,Senior Design Engineer,SALUJA CAD CONSULTANCY,"Delhi, Gurgaon, Noida, Manesar",Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,1 week ago,Job
373,Graphic Designer,Neubright Partners Private Limited,Mumbai,Starts Immediately,"₹ 3,00,000 - 3,60,000",0-2 years,7 days ago,Job
374,Graphic Designer,Osprey Invites,Mumbai,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2 years,6 days ago,Job
375,Junior Media & Public Relations (PR) Executive,MoLog Media & Advertising,"Delhi, Gurgaon",Starts Immediately,"₹ 5,00,000 - 5,25,000",3-5 years,7 days ago,Job
376,Junior Video Editor,The Diamond Talk,"Thane, Mumbai",Starts Immediately,"₹ 2,00,000 - 4,00,000",0-2 years,6 days ago,Job
377,Client Account Specialist,AssetPlus (ValuePlus Technologies Private Limited),Chennai,Starts Immediately,"₹ 3,00,000 - 4,00,000",0-2 years,7 days ago,Job
378,Corporate Sales Manager,Gobind Coach Builders,Bhadaur,Starts Immediately,"₹ 3,60,000 - 4,20,000",0-2 years,2 weeks ago,Job
379,Corporate Sales Executive,Musubi Management Private Limited,Bangalore,Starts Immediately,"₹ 2,40,000 - 3,00,000",0-2 years,1 week ago,Job
380,Field Sales Executive,DELTON CABLES LIMITED,Bangalore,Starts Immediately,"₹ 2,00,000 - 2,40,000",0-2 years,6 days ago,Job
381,Business Development Associate (Bangalore),IB Cricket,Bangalore,Starts Immediately,"₹ 3,00,000 - 5,50,000",0-1 years,6 days ago,Job
382,Corporate Sales Executive,The Schon,Bangalore,Starts Immediately,"₹ 2,50,000 - 4,50,000",0-2 years,5 days ago,Job
383,Junior Videographer,NRGY PLUS,Hyderabad,Starts Immediately,"₹ 2,00,000 - 2,10,000",1 year,6 days ago,Job
